asunto,categoria
"Desarrollo reglamentario previsto en la disposición final cuarta de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"Desarrollo reglamentario previsto en los artículos 97 y 98 de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"Descargas realizadas de la app móvil identifica gobcan, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",VIDA POLÍTICA
"Destino concreto de  3.000.000 de euros de la partida 226g0103 equipamiento infraestructuras sanitarias a. e para la isla de fuerteventura, en el presupuesto de canarias para 2022, dirigida al sr, consejero de sanidad.",INDUSTRIA
"Destino concreto de 1.252.384 euros de la partida 186g0162, ampliación del hospital de fuerteventura: módulos c y e, en el presupuesto de canarias para 2022, dirigida al sr. consejero de sanidad.",INDUSTRIA
"Destino concreto de 1.396.675 euros de la partida 216g0348 c18. i1, plan renovación tecnologías sanitarias en scs para fuerteventura, en el presupuesto de canarias para 2022, dirigida al sr. consejero de sanidad.",INDUSTRIA
"Destino concreto de 1.500.000 euros de la partida 226g0108 modernización y reposición tecnológica hospitalaria (react eu) para fuerteventura, en el presupuesto de canarias para 2022, dirigida al sr. consejero de sanidad.",INDUSTRIA
"Destino concreto de 100.000 euros de la partida  216g0060 cs antigua, en el presupuesto de canarias para 2022, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Destino concreto de 400.000 euros de la partida 166g0101 obras, reformas y equipamientos g.s.s. fuerteventura, en el presupuesto de canarias para 2022, dirigida al sr. consejero de sanidad.",INDUSTRIA
"Destino concreto y criterios de distribución de 100.000 mascarillas fpp2, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Destino del dinero del proyecto 217g0094, acciones de apoyo a la internacionalización (best in gc), no ejecutado en 2021, dirigida a la sra. consejera de economía, conocimiento y empleo.",ECONOMÍA
"Devolución del igic ingresado por el sector turístico por facturas con thomas cook y que no han sido pagadas por la mencionada empresa, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Devolución del igic ingresado por las empresas turísticas por operaciones con el operador thomas cook y sus filiales vinculado a operaciones/facturas no pagadas, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Distribución entre actuaciones de los fondos europeos recibidos por la comunidad autónoma en 2021, respecto a los 295,9 millones de euros del programa react-ue en 2021, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Distribución exacta entre las actuaciones y programas de los fondos europeos recibidos por la comunidad autónoma en 2021, respecto a los 639,79 millones de euros del programa de mrr, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Distribución exacta entre todas las actuaciones y programas, indicando cantidad ejecutada, pendiente y porcentaje de ejecución, de los fondos europeos recibidos por la comunidad autónoma en 2021, respecto a los 639,79 millones de euros del programa mrr, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Dotación a la unidad transcan de los 5 puestos que deberían integrar el equipo disciplinar, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Dotación al municipio de la oliva de un centro de formación profesional, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Efectividad de la convocatoria de las ayudas al transporte de estudiantes de estudios superiores de las islas no capitalinas, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Efectividad de la convocatoria que debe hacerse para la solicitud del bono joven para el alquiler aprobada por el gobierno de españa, dirigida al sr. consejero de obras públicas, transportes y vivienda.",ASUNTOS SOCIALES
"Ejemplares del almanaque infantil bicácaro que se han repartido en los centros de educación infantil, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"El acuerdo adoptado en lisboa en el 27.º pleno del comité mixto de frutas y hortalizas francia-españa-italia-portugal, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"El acuerdo con el cabildo de lanzarote en relación a la evaluación ambiental, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"El alcance de la campaña de instagram destinada a los jóvenes de reino unido entre 13 y 17 años, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"El balance actual de la eficacia del sistema de seguimiento integral de los casos de violencia de género viogen, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",ASUNTOS SOCIALES
"El contrato de adquisición de 48000 test pcr realizado por el servicio canario de la salud en el primer semestre de 2021 por un coste de 720.000 euros, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"El contrato del personal no docente que atiende al alumnado con necesidades específicas de apoyo educativo y trastornos graves de la emoción y la conducta, escolarizado en los centros educativos, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"El convenio para combatir la despoblación en el medio rural, dirigida al sr. consejero de obras públicas, transportes y vivienda.",ASUNTOS SOCIALES
"El coste de la campaña de navidad para promocionar el producto ecológico y local realizado por el instituto canario y de calidad agroalimentaria, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"El coste de la campaña para promover la eliminación de los estereotipos en las jugueterías, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"El coste de la campaña publicitaria emitida en antena 3 en formato publirreportaje sobre el plan canarias te cuida, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"El coste de los servicios de emergencia y seguridad dependientes del gobierno de canarias a lo largo de la erupción volcánica en la palma, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",VIDA POLÍTICA
"El coste del catálogo que presentó gmr en fitur para la venta de productos canarios en una plataforma digital, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"El coste que ha tenido la implantación de textualización de las grabaciones de las vistas judiciales, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",DERECHO
"El coste que ha tenido la implantación de textualización de las grabaciones de las vistas judiciales, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",DERECHO
"El coste que ha tenido la implantación de textualización de las grabaciones de las vistas judiciales, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",DERECHO
"El coste que ha tenido la implantación de textualización de las grabaciones de las vistas judiciales, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",DERECHO
"El coste que ha tenido la implantación de textualización de las grabaciones de las vistas judiciales, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",DERECHO
"El cultivo de manzanero pajarita en el valle de la orotava y sus posibles estrategias de valorización y cultivo, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"El desarrollo de la parte pública del aplicativo de playas para hacerlo accesible a la ciudadanía, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",VIDA POLÍTICA
"El desarrollo de un historial clínico único de cada paciente donde todos los profesionales puedan tener acceso, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"El desarrollo del visor de playas para hacerlo accesible a los ciudadanos, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",VIDA POLÍTICA
"El desarrollo reglamentario de la actividad de intervención administrativa sobre el uso y actividad de creación de obras audiovisuales, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"El desarrollo reglamentario de la actividad de intervención administrativa sobre las explotaciones de energía geotérmica, dirigida a la sra. consejera de turismo, industria y comercio.",ENERGÍA
"El desarrollo reglamentario de los requisitos documentales de las declaraciones responsables en materia de costas, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"El diseño de la organización judicial en la comunidad autónoma de canarias para una mejor prestación de servicios, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",VIDA POLÍTICA
"El estado de ejecución del presupuesto (inversiones) de 2021 en infraestructuras educativas en lanzarote, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",INDUSTRIA
"El expediente de contratación administrativa del servicio de atención sociosanitaria en el centro de atención a personas en situación de dependencia derivada de discapacidad física de el sauzal, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"El expediente de contratación administrativa del servicio de transportes para las personas en situación de dependencia derivada de la discapacidad física del cadf de el sauzal, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"El impulso de la adaptación de la ley canaria de igualdad a la normativa estatal, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"El incremento de la contratación de trabajadores fijos discontinuos, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"El nombramiento de funcionarios de carrera del proceso selectivo para el ingreso por el turno libre al cuerpo administrativo (grupo c-subgrupo c1) de la administración general del gobierno de canarias, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",VIDA POLÍTICA
"El nuevo texto de proyecto de real decreto sobre normas de sanidad y protección animal durante el transporte, en lo que a canarias se refiere, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"El objetivo fijado de conseguir, durante 2022, 26000 unidades de competencia a través del instituto canario de las cualificaciones, dirigida al gobierno.",VIDA POLÍTICA
"El operativo de vigilancia que se ha puesto en marcha en la palma para rastrear especímenes del mosquito aedes aegypti, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"El operativo de vigilancia que se ha puesto en marcha en la palma para rastrear especímenes del mosquito aedes aegypti, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"El pago de las ayudas al alquiler de vivienda por el covid-19 presentadas y solicitadas el 10 de junio de 2020, dirigida al sr. consejero de obras públicas, transportes y vivienda.",ASUNTOS SOCIALES
"El personal laboral en la casa de los coroneles mientras dure el cierre, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"El presupuesto con el que cuenta la inmobiliaria social que ha puesto en marcha visocan, dirigida al sr. consejero de obras públicas, transportes y vivienda.",ASUNTOS SOCIALES
"El proyecto para el pabellón andrés orozco de arafo y fecha de ejecución, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",INDUSTRIA
"El proyecto para la construcción de un nuevo centro de salud en cardones, arucas, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"El proyecto/expediente y acciones llevadas a cabo en cuanto al tren del sur, en tenerife, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"El reciente documento del gobierno de españa con los criterios de distribución de fondos del plan de recuperación a las comunidades autónomas, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"El reglamento de visado de conformidad y calidad en materia urbanística y de rehabilitación, funcionamiento y registro de las entidades colaboradoras para su emisión en canarias, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"El rendimiento de la app móvil identifica gobcan, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",VIDA POLÍTICA
"El reparto de los 774 profesionales sanitarios entre las distintas áreas de salud y años de contratación, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"El reparto de los 774 profesionales sanitarios entre las distintas áreas de salud y en cada una de las categorías profesionales, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"El traslado de oncólogos desde fuerteventura al complejo hospitalario de gran canaria doctor negrín para pasar consultas, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Empresa a la que se le adjudicó el estudio sobre el plan de soberanía alimentaria, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Empresa que ha desarrollado la plataforma canarian market, dirigida a la sra. consejera de agricultura, ganadería y pesca.",INTERCAMBIOS ECONÓMICOS Y COMERCIALES
"Empresas o proveedores encargados del diseño, ejecución, implementación y gestión del bono turístico, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Entidades, personas y órganos que van a constituir la comisión canaria para la educación y formación permanente de personas adultas, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Establecimiento de alguna ayuda a los ganaderos para la gestión y tratamiento de los residuos del sector ganadero, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Estado de cumplimiento de la 10l/pnlc-0086, dirigida al sr. consejero de obras públicas, transportes y vivienda.",DERECHO
"Estado de cumplimiento de la 10l/pnlp-0323, dirigida al sr. consejero de obras públicas, transportes y vivienda.",ASUNTOS SOCIALES
"Estado de los procesos de estabilización del personal adscrito a las entidades públicas empresariales de la comunidad autónoma en situación de abuso de temporalidad, dirigida al gobierno.",VIDA POLÍTICA
"Estado de los procesos de estabilización del personal adscrito a las fundaciones del sector público de la comunidad autónoma en situación de abuso de temporalidad, dirigida al gobierno.",VIDA POLÍTICA
"Estado de los procesos de estabilización del personal adscrito a las sociedades mercantiles públicas de la comunidad autónoma en situación de abuso de temporalidad, dirigida al gobierno.",VIDA POLÍTICA
"Estado de los procesos de estabilización del personal adscrito a los consorcios del sector público de la comunidad autónoma en situación de abuso de temporalidad, dirigida al gobierno.",VIDA POLÍTICA
"Estado de tramitación administrativa de la infraestructura educativa de lanzarote, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Estado de tramitación de la aprobación del plan de reposición de las viviendas de las rehoyas, en las palmas de gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda.",INDUSTRIA
"Estado de tramitación de la licitación del proyecto de ejecución de las viviendas de promoción pública en maneje, arrecife, dirigida al sr. consejero de obras públicas, transportes y vivienda.",INDUSTRIA
"Estado en que quedaron los edificios de las 90 viviendas en puerto del rosario después del proyecto de área de rehabilitación integral, dirigida al sr. consejero de obras públicas, transportes y vivienda.",ASUNTOS SOCIALES
"Estado en que se encuentra la implantación de la llamada quinta libertad de transporte aéreo, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Estado en que se encuentran las obras de la avenida marítima de puerto del rosario, entre la zona de la playa de los pozos y el parador, dirigida a la sra. consejera de turismo, industria y comercio.",INDUSTRIA
"Estado en que se encuentran las obras de la calle primero de mayo en puerto del rosario, dirigida a la sra. consejera de turismo, industria y comercio.",INDUSTRIA
"Estado en que se encuentran los trámites para la conversión de la guardería municipal de valverde en escuela infantil, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Estrategia promocional que se está llevando a cabo en 2022 para recuperar el turismo, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Evitación de la parálisis de la administración general durante el tiempo en que los funcionarios toman posesión y se adaptan a los nuevos puestos de trabajo, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",TRABAJO Y EMPLEO
"Existencia de algún estudio en el que consten las necesidades de mano de obra en lanzarote para los próximos 10 años, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"Existencia de algún proyecto para captar fondos europeos dirigidos a la recuperación física e impulso de la zona en el puerto de santa águeda, en arguineguín, donde se ha estado desarrollando la actividad de cementera, dirigida al sr. consejero de obras públicas, transportes y vivienda.",INDUSTRIA
"Existencia de casos de violencia de género en niñas menores de 18 años, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Existencia de tratado o convenio bilateral entre el gobierno de canarias y marruecos para el traslado, devolución o repatriación de menores inmigrantes en canarias, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",VIDA POLÍTICA
"Experiencia en procedimientos de convocatorias públicas de la administración que tiene la empresa a la que se ha contratado la gestión de las subvenciones con cargo al irpf, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Fecha de comunicación a la presidencia del gobierno que había serios indicios de que el contrato de mascarillas no se iba a cumplir, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Fecha de las solicitudes de valoración del grado de discapacidad, o revisión del mismo, más antiguas en la lista de espera actual, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Fecha de solicitud a la demarcación de costas de canarias de la adscripción del dominio público marítimo terrestre para la realización de las obras de la metroguagua en el litoral más cercano a vegueta, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Fecha del traslado al gobierno de españa instando el cumplimiento de la 10l/pnlp-0337, dirigida al gobierno.",VIDA POLÍTICA
"Fecha del traslado al gobierno de españa instando el cumplimiento de la 10l/pnlp-0355, dirigida al gobierno.",VIDA POLÍTICA
"Fecha en que deben estar terminadas las obras de la avenida-bulevar de primero de mayo, en puerto del rosario, dirigida a la sra. consejera de turismo, industria y comercio.",INDUSTRIA
"Fecha en que deben estar terminadas las obras del paseo marítimo de puerto del rosario, dirigida a la sra. consejera de turismo, industria y comercio.",INDUSTRIA
"Fecha en que se comunica a la presidencia del gobierno que la fiscalía está investigando al servicio canario de la salud por el contrato de las mascarillas, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Fecha prevista de finalización de las obras en el ies guaza, en arona, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Fecha prevista para la apertura del museo arqueológico de valverde, dirigida a la sra. consejera de turismo, industria y comercio.",INDUSTRIA
"Fecha prevista para la puesta en funcionamiento de la sala de congresos y auditorio de la peña, dirigida a la sra. consejera de turismo, industria y comercio.",INDUSTRIA
"Finalidad con que se tiene prevista la modificación de la ley 11/1986, de 11 de diciembre, de creación y regulación del instituto canario de hemodonación y hemoterapia, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Fondos europeos que han sido transferidos en el 2021 diferenciando entre mecanismo recuperación y resiliencia y los react-eu,  dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Funcionamiento de las nuevas instalaciones de la unidad de salud mental en fuerteventura, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Garantías o avales que se pidieron a la empresa cuando se le abonó el total del contrato, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Gasto destinado a la publicidad del bono turístico, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Gasto durante la pandemia en hoteles en fuerteventura en el servicio de alojamiento para aislamiento o cuarentena de personas por covid-19, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Gasto imputable al bono turístico en concepto de diseño, implementación, ejecución y gestión, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Gasto realizado en la plataforma de marketplace, dirigida a la sra. consejera de turismo, industria y comercio.",INTERCAMBIOS ECONÓMICOS Y COMERCIALES
"Gasto total en la póliza de seguro de viaje covid-19 para turistas hasta el 2 de marzo de 2022, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Gasto turístico en las islas durante 2021, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Gestiones para que canarias se convierta en sede permanente de uno de los buques oceanográficos y de investigación del instituto español de oceanografía, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Gestiones realizadas para compartir listados de intervención quirúrgica en procesos de transición del colectivo trans previstas en málaga, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Grado de cumplimiento del plan estratégico de subvenciones 2020-2022 del instituto canario de igualdad, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Grado de ejecución del proyecto 186g0042, denominado puerto del rosario-caldereta, a 31 de diciembre de 2021, dirigida al sr. consejero de obras públicas, transportes y vivienda.",INDUSTRIA
"Grado de ejecución, material y presupuestaria, del nuevo enlace de las chafiras, en tenerife, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Grado de ejecución, material y presupuestaria, del nuevo enlace de oroteanda, en tenerife, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Hoja de ruta, detallando acciones y plazos, de puertos canarios, para gestionar la zona donde se viene desarrollando la actividad de cementera en el puerto de santa águeda, en arguineguín, gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Implantación de las unidades de atención temprana, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Importe al que asciende la financiación con cargo a los fondos europeos para la ejecución de las obras vinculadas para dar cumplimiento a la directiva 2000/60/ce, por la que se establece un marco comunitario de actuación en el ámbito de la política de aguas, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Importe al que ascienden las sanciones impuestas por los incumplimientos de la directiva 2000/60/ce del parlamento europeo y del consejo, de 23 de octubre de 2000, por la que se establece un marco comunitario de actuación en el ámbito de la política de aguas, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Importe de las subvenciones otorgadas durante 2021 destinadas a instalaciones de autoconsumo de energías renovables en el sector residencial, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Impulso de una ley canaria de conciliación de la vida familiar, personal y laboral en esta legislatura, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"Impulso que se ha dado a las islas verdes, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Incidencia real del efecto de la ansiedad causado por la pandemia en la profesión de enfermería, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Incoación del expediente para declarar la caducidad del parque eólico fuerteventura renovables i, en la oliva, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Incremento de las inspecciones de trabajo demandadas por el colectivo de las kellys, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"Influencia de la nueva ley estatal de vivienda en los precios del alquiler, dirigida al sr. consejero de obras públicas, transportes y vivienda.",INDUSTRIA
"Iniciativas adoptadas en los últimos tres meses para garantizar el derecho a la práctica del deporte a nivel federativo a los menores extranjeros no acompañados, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Inicio y situación del expediente de caducidad del parque eólico fuerteventura renovables i, en la oliva, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Intervenciones previstas en el puerto de caleta de sebo, la graciosa, para 2022, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Intervenciones previstas en el puerto de órzola, haría, para 2022, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Islas que se han adherido a saborea españa, dirigida a la sra. consejera de turismo, industria y comercio.",INDUSTRIA
"La actividad de la escuela canaria del deporte prevista en el artículo 32 de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"La actividad desarrollada respecto al fomento y promoción del deporte y a la investigación en las ciencias del deporte, dirigida a la sra. consejera de educación, universidades, cultura y deporte.",ASUNTOS SOCIALES
"La actualización del catálogo general de playas y otras zbm de canarias, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",MEDIO AMBIENTE
"La afección en el producto interior bruto de la palma ante las consecuencias de la erupción volcánica, dirigida a la sra. consejera de economía, conocimiento y empleo.",ECONOMÍA
"La aprobación de la adaptación del decreto 141/2009, de 10 de noviembre, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"La aprobación del reglamento según ordena la disposición final decimoquinta del decreto-ley 15/2020, de 10 de septiembre, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"La calificación de utilidad pública a las obras de instalación y renovación de tuberías de transado de combustible en puerto del rosario, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"La calificación territorial y urbanística del solar sobre el que se asienta el antiguo colegio de villaverde, en fuerteventura, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",INDUSTRIA
"La celebración en barcelona de las iii jornadas de mujeres lesbianas, bisexuales & aliadas, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"La certificación iso 9001 del ayuntamiento de puerto del rosario en el momento que la presidencia del servicio canario de empleo dictara la resolución n.º 10940/2021, de 22 de diciembre de 2021, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"La certificación iso 9001 del ayuntamiento de puerto del rosario para el desarrollo de la resolución n.º 10940/2021, de 22 de diciembre de 2021, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"La construcción de la residencia de mayores de alto requerimiento, en teguise, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",INDUSTRIA
"La convocatoria de la ayuda al alquiler para personas jóvenes de 2022, dirigida al sr. consejero de obras públicas, transportes y vivienda.",ASUNTOS SOCIALES
"La creación del área de libre comercio continental africano por parte de la ue, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"La creación del observatorio canario de la actividad física y el deporte, previsto en el artículo 15 y en la disposición adicional quinta de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"La decisión de otorgar un contrato de mascarillas, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"La declaración por parte del consejo insular de aguas de el hierro de la emergencia hídrica en la isla, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"La distribución de los fondos destinados a la construcción, adaptación y equipamiento de plazas de educación infantil de 0 a 3 años, con descripción detallada por islas y municipios, y cuantías, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"La dotación económica prevista para la retirada de amianto del ceip alcalde diego trujillo rodríguez, en gáldar, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"La elaboración y aprobación de la ley canaria del ejercicio profesional de los servicios deportivos, prevista en la disposición adicional tercera de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"La elaboración y aprobación del plan director de instalaciones deportivas de canarias, previsto en el artículo 43 de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"La empresa adjudicataria del concurso para vender telemáticamente productos canarios en el exterior, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"La estrategia para acabar con el tabaco en las playas canarias, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"La evolución del número de desempleados, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
